X,Y,Z,RX,RY,RZ
-345.434,-324.14,690.365,179.999,-0.002,-0.764
-345.434,-324.14,690.365,179.999,-0.002,-0.764
-345.434,-324.14,690.365,179.999,-0.002,-0.764
-341.755,-327.938,690.15,179.998,0.001,1.16
-339.291,-330.475,689.893,179.998,0.001,2.402
-339.291,-330.475,689.893,179.998,0.001,2.402
-335.423,-334.456,689.351,179.998,0.004,4.269
-335.423,-334.456,689.351,179.998,0.004,4.269
-332.773,-337.187,688.899,179.996,0.01,5.492
-332.773,-337.187,688.899,179.996,0.01,5.492
-328.725,-341.348,687.981,179.994,0.014,7.274
-328.725,-341.348,687.981,179.994,0.014,7.274
-328.725,-341.348,687.981,179.994,0.014,7.274
-324.362,-345.815,686.82,179.992,0.024,9.087
-324.362,-345.815,686.82,179.992,0.024,9.087
-321.348,-348.868,685.917,179.992,0.03,10.275
-321.348,-348.868,685.917,179.992,0.03,10.275
-321.348,-348.868,685.917,179.992,0.03,10.275
-316.615,-353.618,684.368,179.989,0.039,12.055
-316.615,-353.618,684.368,179.989,0.039,12.055
-313.415,-356.792,683.237,179.989,0.047,13.206
-313.415,-356.792,683.237,179.989,0.047,13.206
-313.415,-356.792,683.237,179.989,0.047,13.206
-308.371,-361.725,681.393,179.983,0.064,14.94
-308.371,-361.725,681.393,179.983,0.064,14.94
-304.936,-365.031,680.054,179.982,0.074,16.07
-304.936,-365.031,680.054,179.982,0.074,16.07
-304.936,-365.031,680.054,179.982,0.074,16.07
-299.549,-370.078,677.84,179.987,0.081,17.732
-299.549,-370.078,677.84,179.987,0.081,17.732
-295.934,-373.422,676.295,179.986,0.091,18.823
-295.934,-373.422,676.295,179.986,0.091,18.823
-290.455,-378.408,673.813,179.986,0.11,20.422
-290.455,-378.408,673.813,179.986,0.11,20.422
-290.455,-378.408,673.813,179.986,0.11,20.422
-286.493,-381.901,672.082,179.985,0.121,21.493
-286.493,-381.901,672.082,179.985,0.121,21.493
-280.675,-386.954,669.331,179.985,0.141,23.04
-280.675,-386.954,669.331,179.985,0.141,23.04
-274.575,-392.08,666.421,179.985,0.16,24.562
-274.575,-392.08,666.421,179.985,0.16,24.562
-274.575,-392.08,666.421,179.985,0.16,24.562
-270.51,-395.423,664.445,179.983,0.175,25.54
-270.51,-395.423,664.445,179.983,0.175,25.54
-270.51,-395.423,664.445,179.983,0.175,25.54
-264.162,-400.467,661.388,179.985,0.195,26.979
-264.162,-400.467,661.388,179.985,0.195,26.979
-259.886,-403.821,659.257,179.981,0.218,27.927
-259.886,-403.821,659.257,179.981,0.218,27.927
-259.886,-403.821,659.257,179.981,0.218,27.927
-253.509,-408.63,655.902,179.988,0.232,29.265
-253.509,-408.63,655.902,179.988,0.232,29.265
-253.509,-408.63,655.902,179.988,0.232,29.265
-248.972,-411.956,653.622,179.988,0.249,30.168
-248.972,-411.956,653.622,179.988,0.249,30.168
-242.357,-416.691,650.081,179.988,0.274,31.445
-242.357,-416.691,650.081,179.988,0.274,31.445
-237.862,-419.794,647.697,179.989,0.29,32.267
-237.862,-419.794,647.697,179.989,0.29,32.267
-230.952,-424.423,643.981,179.99,0.315,33.478
-230.952,-424.423,643.981,179.99,0.315,33.478
-230.952,-424.423,643.981,179.99,0.315,33.478
-223.956,-428.925,640.229,179.99,0.34,34.63
-223.956,-428.925,640.229,179.99,0.34,34.63
-219.283,-431.885,637.665,179.985,0.368,35.371
-219.283,-431.885,637.665,179.985,0.368,35.371
-212.365,-436.035,633.686,179.991,0.381,36.404
-212.365,-436.035,633.686,179.991,0.381,36.404
-212.365,-436.035,633.686,179.991,0.381,36.404
-207.488,-438.863,631.016,179.99,0.399,37.096
-207.488,-438.863,631.016,179.99,0.399,37.096
-200.458,-442.838,626.961,179.987,0.43,38.046
-195.716,-445.403,624.205,179.988,0.445,38.654
-188.516,-449.174,619.984,179.986,0.472,39.523
-188.516,-449.174,619.984,179.986,0.472,39.523
-183.806,-451.563,617.193,179.983,0.493,40.057
-183.806,-451.563,617.193,179.983,0.493,40.057
-176.596,-455.083,612.963,179.976,0.528,40.822
-176.596,-455.083,612.963,179.976,0.528,40.822
-171.826,-457.263,609.983,179.982,0.533,41.293
-171.826,-457.263,609.983,179.982,0.533,41.293
